run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0,0.8001161971830985,0.006469685938400975,18.0,33.62,37.0,12.0,3.0993776162356172,-0.03683544545889586,1.0292836390370765,0.0500083803853435,0.07857635793884712,0.3857458337240302,0.005305756651384671,0.013408846044613825,0.01618150165492381,0.012197177680399346,0.03183996506197685,0.03721058992458467,11.00014852101148,13.734179278236567,11.032139983230532,18.0,33.62,0.0,0.25,0.33331215687132765,-0.023487992334317354,-0.15013000304840374,0.13665038447403763,0.15070088474540852,0.10312735549852178,0.0025177156935619156,-0.005371506734429579,-7.564044093701683e-05,0.028954685143128413
1,0.8001229312539785,0.0062987970391116714,18.0,33.71,36.0,12.0,2.9995892223263882,0.006234487861050389,1.0346496377822076,0.05291228235686322,0.08065408449760957,0.3889523914982671,0.0034502525623107145,0.007696608754521097,0.009714989779301504,0.007931653279695718,0.019598475839928523,0.022352882883288176,11.000340235517914,17.381778862072018,11.089117847724523,18.0,33.71,0.0,0.25,0.3136456139728448,-0.019938236232071613,-0.1574640357390403,0.14014034033672346,0.13600899184808146,0.10170316474857419,0.005210689780846845,-0.004570783533786832,-0.0005789319708500875,0.024232924333707394
2,0.8001118670886076,0.00605683455124901,18.0,33.8,35.0,11.0,2.8998459995799304,0.0452103038449398,1.0221483106532363,0.05757013851460865,0.08625955443854896,0.3834075376213463,0.0035033909429190565,0.014864058875308022,0.013915854949761068,0.00818706719322042,0.03543271078446503,0.03253168691539727,10.00029064271396,11.816428439560212,10.039508490673992,18.0,33.8,0.0,0.25,0.32607129224493653,-0.001637428680519167,-0.15300791395593602,0.12602393885797433,0.14191915951459438,0.09995833325746087,0.0024624263872958826,-0.003963776769354606,0.0007669470583047558,0.023267174210216783
3,0.8000926100628932,0.006070184662746847,18.0,33.9,34.0,11.0,2.798369568726574,0.07993416212367611,1.012165050363204,0.06065483969009548,0.08612624284991786,0.37875571153085313,0.003527370832806029,0.010608730235217195,0.015417095872123818,0.008243104766234965,0.02578483929452804,0.03603876371336789,10.000277641773865,13.208475957155253,10.0321933785505,18.0,33.9,0.0,0.25,0.30691585228568563,-0.013522326938680567,-0.14131886791364648,0.12252531261354241,0.1341910477687228,0.10258171090715183,0.0005325794793644307,-0.003410807440689359,0.002447909193340776,0.02176449692905996
4,0.800086640625,0.0059994193258077234,18.0,34.0,33.0,11.0,2.699734201719072,0.1113868078796556,1.0048915578415494,0.06702798514980264,0.09146045025953285,0.3711232476959284,0.00423889630412341,0.00831877932929465,0.010644273848596827,0.009905858705765087,0.020705236142050547,0.02489004563063636,10.000186365789455,14.596206877844654,10.067522909870512,18.0,34.0,0.0,0.25,0.32130417045868476,-0.030079062449840422,-0.16642687492727418,0.12857583622033464,0.15009566091721918,0.10624950549543252,0.001818954667861122,-0.0014160017973512214,0.0017728353192647509,0.02516682924660466
5,0.800082799487508,0.005892163497083015,18.0,33.61,31.0,10.0,2.5994771548698754,0.1364370360820264,0.9923038337633698,0.07201120555915104,0.0941047179791593,0.3637242656101854,0.004320227535598003,0.011195867442318425,0.01974967320886852,0.010301695006467191,0.027379918483325754,0.04710027754652328,9.000156472039428,11.303939722337873,9.01765938662747,18.0,33.61,0.0,0.25,0.28313457207849446,-0.05061370914932913,-0.12137411912908559,0.10843485159331559,0.12558243438216074,0.0914266381635989,0.002303588470093008,-0.002369472052420028,0.0019253280315078122,0.017938199331406814
6,0.8001000000000001,0.005792784761921301,18.0,33.7,30.0,10.0,2.500117412447147,0.15897824328033178,0.9761291174560838,0.07809057550467982,0.09941155581229336,0.34858041029990133,0.0052545842756541805,0.01873966507553267,0.023299903488801038,0.012529687524415915,0.045003653602321135,0.055564852738581576,9.000102542916006,9.77810363455244,9.012686918841245,18.0,33.7,0.0,0.25,0.28018216571754295,-0.03151783444407058,-0.09488885350678128,0.12018433856153843,0.12162475518763943,0.08820906869919723,-0.0011993320992570605,-0.0021348581260014496,0.0033442715671487843,0.01850295351775646
7,0.8001178097345134,0.005708148126202769,18.0,33.82,29.0,9.0,2.398655571707009,0.1832267019570377,0.971270456337291,0.08347931004012117,0.10069226023100507,0.33974584842127437,0.006652348263230212,0.005713231006106084,0.013993736978918784,0.016270895818417248,0.015300929161545311,0.03423360871489233,8.000055112525052,13.807647950368434,8.031262455985855,18.0,33.82,0.0,0.25,0.23620670043563707,-0.020935524692073083,-0.05846902659644435,0.12260249222076891,0.1081197930088114,0.06946018310707143,0.0013213384258678215,-0.0012228607108608518,0.0006426832039927793,0.015768003746266288
8,0.8001333124215809,0.006296715179054495,18.0,33.94,28.0,9.0,2.298542471812303,0.20751587561912574,0.9585093959151059,0.0905452053451215,0.10497429563631143,0.3357014874736808,0.0033224651065008022,0.010105778671833557,0.012400825820858233,0.008126383837875504,0.02519133111544917,0.030338386411697293,8.000214277539142,9.987965776043808,8.039806456560454,18.0,33.94,0.0,0.25,0.2587681932712907,-0.018478983767369207,-0.058332183310775776,0.09873823634089525,0.1052956922127774,0.07404448167733976,8.564367175763629e-05,-0.0012474358485396405,0.0016554240127262794,0.013155375866327952
9,0.8000919521654816,0.005434031494217111,18.0,33.47,26.0,8.0,2.19940089911926,0.21837905848854355,0.9424262093666946,0.096702442415726,0.10791331169387566,0.3236109617428225,0.003928804178185029,0.005448601956713128,0.013128219851503996,0.00993158640324747,0.014733048204718532,0.0331891605453469,7.000130153612122,12.012375029776729,7.031088559962961,18.0,33.47,0.0,0.25,0.2186728097649196,-0.02501616037409944,-0.03533968980813612,0.09694219292045901,0.10332913841202854,0.07832645762995018,-0.0026021197884907488,-0.002676918293136328,0.001116771176965381,0.013100630723742988
