run,tsr,cp,cd,delta_cp,delta_cd,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,k
0,3.1008565400928796,-0.02583539389999912,1.0525808845170739,0.01754024396726954,0.0022240000000000003,0.0,0.25,0.39895284634374295,-0.06769090925130887,-0.19253432028315845,0.16191345300179574,0.2032791915446374,0.14224136103461882,0.003774339971694284,0.04388550038349344
1,3.000445746013693,0.016536753779623683,1.039575133319105,0.016971237764394208,0.0022240000000000003,0.0,0.25,0.3959986342715523,-0.07183993170582197,-0.21434890841992157,0.17195553104936237,0.20861477622460645,0.13979470653797973,0.007084568082542328,0.04631569474687536
2,2.90025391521851,0.04950560033177915,1.025783058303426,0.016406208309179982,0.0022240000000000003,0.0,0.25,0.3682398648283246,-0.050853040669824476,-0.17244425672692454,0.17102045642162395,0.18912927574871674,0.1265853581945266,0.007316398528557766,0.04052086618456566
3,2.800037698049503,0.0911492620641792,1.0242839779769632,0.015844678888745353,0.0022240000000000003,0.0,0.25,0.3764993310883785,-0.04058375127643281,-0.1655060160701396,0.16104319761212255,0.18182247688010822,0.135594686746508,0.0044658514778840195,0.03869012183491913
4,2.6991653289445274,0.12324061286189347,1.0167791842274978,0.015273242763699346,0.0022240000000000003,0.0,0.25,0.37367662073306274,-0.05035379921202074,-0.1588839891577851,0.15916099695950733,0.17373751248575267,0.1347346154815687,0.0005654680275142179,0.03683518140342377
5,2.599310153073716,0.15082988178163573,0.9992092686060765,0.01470847221041336,0.0022240000000000003,0.0,0.25,0.381051359851013,-0.09517360644185474,-0.14700067132983308,0.16944176995276014,0.17126839975393204,0.14001186688873846,-0.0008285117901957315,0.038823350514333284
6,2.4996316137795356,0.17766592036695658,0.9965059768868441,0.014142179017743273,0.0022240000000000003,0.0,0.25,0.37630204775111603,-0.05305390651652374,-0.1364508868215922,0.15984016307497986,0.1602985268662635,0.12557937751174483,-0.0005613556780250839,0.03350733775178384
7,2.400597270110634,0.18746734372529925,0.9760353757314068,0.013580606413546931,0.0022240000000000003,0.0,0.25,0.3533042155738612,-0.03493290627595045,-0.11377444366835132,0.1425834547279544,0.14986820198355322,0.11063829703181834,-0.0016871753954433102,0.02751567614902129
8,2.298825507620452,0.21554382302301323,0.9713883414674829,0.013009999273451301,0.0022240000000000003,0.0,0.25,0.28214481809299075,-0.04717330133308949,-0.051645504532052064,0.14175072207301015,0.12438877549243486,0.10217191978125804,-0.0026364955323460834,0.02300246793425748
9,2.201103641129573,0.2275899698585802,0.9508784158771484,0.012452186613159968,0.0022240000000000003,0.0,0.25,0.239617627130553,-0.03031536112733693,-0.03911830515991423,0.13878032472637425,0.1356547474674051,0.09602900652018675,-0.003338056511541288,0.0234418795674287
10,2.0999381777032693,0.24637810470519086,0.9465231708577133,0.011883897578687306,0.0022240000000000003,0.0,0.25,0.2603816052996491,-0.004881270950306581,-0.04081103669492727,0.11204302138088004,0.11016735341400856,0.10086196419857062,-0.0013883867726908665,0.01743181011019857
11,1.9984582416081786,0.25345440241636336,0.9263916106714538,0.011308495003746234,0.0022240000000000003,0.0,0.25,0.2823940013654672,-0.008007839146316503,-0.03509918207222699,0.11534432394982203,0.1227430367585188,0.09530121638133109,0.000678247804928005,0.018726243991952937
12,1.8989612367111905,0.2615895759315606,0.911923414944024,0.010751193712674578,0.0022240000000000003,0.0,0.25,0.2627489906897885,0.008513113683540244,-0.01778715534389981,0.12200462325319832,0.11644235836030897,0.08675589813947521,-0.0005924531364443826,0.017985268388826237
13,1.8003123261688838,0.26129106263635105,0.8982486580784712,0.010188635564686311,0.0022240000000000003,0.0,0.25,0.2746520991542015,0.017794562987624288,-0.041898830034334214,0.11494681910474057,0.10932492334188908,0.10379925686055291,-0.0016724620406874723,0.017969497905405456
14,1.6993936332535697,0.25238217916677574,0.8694673875882991,0.009615558998076009,0.0022240000000000003,0.0,0.25,0.2824534373191528,-0.004991204356626608,-0.028370094691198104,0.11872918914260118,0.11330745995436341,0.09422085433425488,-0.0024065485116898724,0.017906385113623056
15,1.60004361025606,0.24469617689157172,0.8469478508224422,0.009051397957054428,0.0022240000000000003,0.0,0.25,0.2694228631697493,-0.011002084760424436,-0.006238707392706255,0.10139002033652811,0.10630453731623336,0.08777297746565074,0.0002573337579991963,0.014642343225522835
16,1.5000784507255234,0.22149878607260878,0.8158101989131169,0.008484142972244254,0.0022240000000000003,0.0,0.25,0.2821828101748219,0.004916098234364394,-0.02192053208800222,0.10606238664403193,0.1162895629868681,0.1191953160859342,-0.00037602728757343227,0.019490007848565326
17,1.4014313838599903,0.19772616516115632,0.7855844217085475,0.007933359672086245,0.0022240000000000003,0.0,0.25,0.31753415961850284,-0.012819490971130101,-0.048394172793020024,0.14370732570799966,0.14132756084041606,0.14025910283616164,0.00017663030922183495,0.030148945421825786
18,1.3009245626905106,0.17412896079561235,0.7531332603685186,0.007360504080221675,0.0022240000000000003,0.0,0.25,0.3600804277314442,-0.0012537106386735304,-0.03838888880667541,0.16237356029225283,0.16284167948457415,0.14454025626477268,0.0011038811918406331,0.036887235670212404
19,1.1985695642537275,0.15084891617537383,0.7171759987168125,0.006781949733025292,0.0022240000000000003,0.0,0.25,0.45570370400632554,0.023105759546599852,-0.06705420877779003,0.18893640591902489,0.17010188019631622,0.1516800174513657,-0.00012973935378913313,0.04381922141098353
20,1.1001411688803644,0.11363781021555139,0.6947257186763955,0.0062255827069354975,0.0022240000000000003,0.0,0.25,0.4767273687157911,0.02886741506747551,-0.04978120625618294,0.18146227602827134,0.16546575957144025,0.12290743224514096,0.0039442815890078685,0.03770685605650406
