run,tsr,cp,cd,delta_cp,delta_cd,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,k
0,1.899237458088556,0.2477596002167717,0.9223179937111174,0.016790486042297256,0.003475,-3.0,0.0,0.881961477472837,-0.024863320656834848,-0.03083296504160898,0.04308094169568726,0.025503204727904828,0.012478293655522554,-2.4914247684342744e-05,0.0013310444006670434
1,1.8992612097797175,0.25476879293842236,0.9371179885512455,0.016796024526073598,0.003475,-2.75,0.0,0.8975874922807203,-0.026341856034883274,-0.02942306483517538,0.0378054885116375,0.0249433370720092,0.011782849826372031,-3.3996756229810883e-06,0.0010951302879611295
2,1.8993665714781593,0.2515383851106787,0.9278668116030101,0.016790164881455134,0.003475,-2.5,0.0,0.9029700030729452,-0.02592392678475748,-0.025142406134912934,0.03253543518377385,0.022994047522540043,0.011307102933751754,1.4278060077527923e-05,0.0008575656704104185
3,1.899435696445435,0.2585514435796173,0.9336587463076911,0.016794036051978736,0.003475,-2.25,0.0,0.7922230989596715,-0.020680757133695604,-0.033528391262061,0.06294247263371813,0.07144971747566776,0.03720001339445128,0.0009095054865791656,0.005225328992573227
4,1.9000397049448685,0.25277248092846544,0.9306820781315008,0.01679579786458374,0.003475,-2.0,0.0,0.904338704127271,-0.04018720312413957,-0.021140056951956396,0.04047549501979212,0.04128883548196016,0.02075731053190731,0.00014042236743373965,0.0018869497865358095
5,1.898772318243096,0.2541579217141283,0.9272786280825414,0.016794827534278214,0.003475,-1.8,0.0,0.9036520092557481,-0.05524186933624732,-0.024718750024696805,0.07155856882375546,0.09248166552712869,0.0464861783835071,-0.0009418024695318133,0.007917226005739545
6,1.898726046642831,0.2476859273550962,0.9214392448525998,0.016792241812871263,0.003475,-1.6,0.0,0.9282740249903739,-0.06705271479479805,-0.029571654095365597,0.08292346140452309,0.10623109236255393,0.053915471678054806,-0.0024296423441910846,0.010534111761058012
7,1.8988783577942856,0.2565177543500738,0.9324114476589679,0.016791595382519526,0.003475,-1.5,0.0,0.9236130972747296,-0.07510321972806581,-0.03461142684366246,0.0782988249832439,0.08834861444238887,0.056793209499223854,-0.00045519513184595476,0.008580826156434638
8,1.8994990984666538,0.253237393420074,0.9312830791672383,0.016792060346723797,0.003475,-1.4,0.0,0.9269749601839462,-0.07925734146553134,-0.0390467172846268,0.0847535643880608,0.09546015620581956,0.06747434315469089,-2.90307100212728e-06,0.010424297541738809
9,1.8983108253512309,0.2519075601126112,0.932804647463347,0.01678858044663583,0.003475,-1.3,0.0,0.8859756252751693,-0.10246561516501591,-0.034739747728487,0.12162683604847338,0.11717074376570132,0.08522569846951626,0.004387165959585132,0.017892745060693382
