run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upup,mean_upvp,mean_upwp,mean_vpvp,mean_vpwp,mean_wpwp,k
0,NaN,NaN,20.0,59.69,47.0,15.0,3.099747226838815,-0.1081055231869108,1.0461551093147592,0.05463674399914312,0.14874347191048162,0.3632438813740156,0.0016510105615640338,0.009415227567360232,0.024917821080325718,0.003665636430693989,0.047322157024942316,0.055472948773976447,14.007811469221036,11.846873600939396,14.275151930929532,20.0,59.69,0.0,0.25,0.1587461578118055,-0.00830650040748442,-0.06575434628583861,0.06428475007593666,0.07846414517669757,0.049889580752198626,0.0041320084915329545,0.0005581260308353047,-0.0006320384190689862,0.006155846489738657,0.0005140121785267037,0.0024886567163240714,0.006388255848797842
1,NaN,NaN,20.0,59.27,45.0,15.0,2.999841873565089,-0.05616613877264533,1.0118899212884438,0.058899694266035446,0.15175514033583232,0.3684335861506712,0.001837272064207001,0.01369651327595536,0.019080531209574352,0.0040791121035123196,0.04978525892863972,0.042562149780168944,14.006110260521588,16.18279736869737,14.467876014280279,20.0,59.27,0.0,0.25,0.15151718880581358,-0.005587089360328873,-0.07921097542052004,0.06451228259063205,0.07001528101941214,0.054022863767957154,0.004161304705052923,0.00026444802412793264,-0.001019194165112075,0.004901515417890581,0.0007388314475332729,0.002918098219443016,0.005990459171193261
2,NaN,NaN,20.0,59.72,44.0,14.0,2.8993472778271547,-0.0034461293443258456,1.0023550141426558,0.06327183325885492,0.15808467360838627,0.3768655729842653,0.0015496560350039576,0.010650124811150895,0.017266019920727283,0.0034744751776054476,0.04569242195923646,0.03892141041589996,13.007725637810749,13.488853759275692,13.530408907556613,20.0,59.72,0.0,0.25,0.16348288027232422,-0.0026684289985483612,-0.07116893263529198,0.06710875882461297,0.06768305324164903,0.053849267292255934,0.004503018594374961,0.0011249218415177885,-0.000934674714441561,0.0045804190350222556,-8.96676798579703e-05,0.0028993785648025643,0.005991408097099891
3,NaN,NaN,20.0,59.27,42.0,14.0,2.7999150208193315,0.025746796266160575,0.9825892697827168,0.06362705020957597,0.1568777896343714,0.36676111015102647,0.0026584485976629576,0.013127925097114562,0.023639144003305915,0.005960182605735946,0.04693132360056677,0.05315059279545647,13.002543375768058,16.351511800647216,13.283956428148937,20.0,59.27,0.0,0.25,0.15383549790297532,0.0044970715765213784,-0.06430455835015915,0.06077646842114655,0.06143646736219122,0.04813141467893845,0.0036933088082826884,0.0006651007433893613,-0.0008881291651294091,0.003773958946503527,3.4195951043381485e-05,0.0023163381168009992,0.004891802935793607
4,NaN,NaN,20.0,59.75,41.0,13.0,2.6995837831423826,0.07187037365736668,0.98394167267728,0.06693740988109147,0.16186969929554854,0.3696216812994481,0.0010393386027938577,0.01153850012189361,0.01489728951568402,0.002357342303667001,0.04413746784489964,0.03401547635388022,12.014881399605764,15.037818197298604,12.657068473723122,20.0,59.75,0.0,0.25,0.1473485536459517,0.0068655346157234275,-0.06683333352484898,0.0574822273545799,0.06278936928476062,0.04332719380064009,0.003303790838189319,0.00033927781343299335,-0.000391570792762921,0.00394200898261261,0.0004429777566906981,0.0018770095911007862,0.004561404705951358
5,NaN,NaN,20.0,59.27,39.0,13.0,2.5996296587970456,0.10007431938151602,0.981724558165208,0.06965028520997246,0.16578664348617692,0.3663085420890134,0.002054282938915786,0.020043036044223278,0.03059230274964172,0.004658834203646856,0.055160488940249296,0.06948645011445762,12.00369193779283,19.999046600063203,12.156806696122048,20.0,59.27,0.0,0.25,0.15152546483363735,-0.004266743053812467,-0.06479386315393604,0.059365459465607985,0.06593084555817744,0.04901246516437023,0.003523809056175227,0.00035630059668175423,-0.0005223489585571475,0.0043463229358181275,0.0007440504050545391,0.0024019158818321903,0.005136023936912772
6,NaN,NaN,20.0,59.79,38.0,12.0,2.4998014242337008,0.125797371012995,0.9726257515383978,0.07252988665494497,0.16732176679554905,0.3610698290017616,0.0017405519194063472,0.015756172085202882,0.016018880448034723,0.004001452983242387,0.04757145146162726,0.03702089446908598,11.00456971811174,18.573839561994262,11.522380216717497,20.0,59.79,0.0,0.25,0.12683199316497962,-0.008691128456760169,-0.03848554923275011,0.05191335478288459,0.05133532338831319,0.03895783548474132,0.0026946577523375456,-1.0545745279577645e-05,-0.0004629892166301566,0.002634984274401119,0.0005167223544482324,0.0015175222302822495,0.0034235821285104567
7,NaN,NaN,20.0,59.26,36.0,12.0,2.399723270598336,0.14976072021518178,0.9489396072516539,0.07617734552651967,0.1719407116488465,0.36295970828239577,0.0020288524304915966,0.012553508550282411,0.025864674743329617,0.004664183786806076,0.04202543222879709,0.05957760543118776,11.003261024113982,17.048040297753055,11.201061279037301,20.0,59.26,0.0,0.25,0.10205234348338006,-0.003037315356837286,-0.02271561390755357,0.04690814596878324,0.0511965005627341,0.03536766515331502,0.002200093927184581,-0.00015763419081193705,-0.00027460416079017454,0.0026207478591632237,0.00019628213726645825,0.0012507124322662956,0.0030357771093070503
8,NaN,NaN,20.0,59.83,35.0,11.0,2.2996101980848835,0.166782528916489,0.9319015833542359,0.07577992099938094,0.16672729382585633,0.34532041395085744,0.0012794029197662302,0.009442363189126422,0.019242356881893668,0.002990024575385261,0.03737400174721323,0.04510872358480932,10.00723035665972,14.267740633667772,10.330051478878291,20.0,59.83,0.0,0.25,0.10862164213783614,-0.005570800918949539,-0.026983053048512264,0.05099372048510043,0.05087031332556748,0.03998497956253971,0.0026000330966342547,-0.00018471270551991876,-0.000769692936763014,0.0025874639236137106,0.0004852662671245418,0.0015985978878059455,0.0033930474540269555
9,NaN,NaN,20.0,59.26,33.0,11.0,2.1997629371994636,0.17851296414846943,0.9096860259322355,0.08100760158179757,0.1717953838933486,0.3547798802772437,0.0013592680539485816,0.013209564056486925,0.01777341679689728,0.0031766435156591055,0.04107650210405752,0.04168854739772449,10.0062153461038,17.592899513156713,10.386674441002096,20.0,59.26,0.0,0.25,0.10637098843613957,-0.008261589382919713,-0.025324121285454092,0.05315333069638956,0.05004017840526015,0.03841941540131094,0.0028249167479500953,-0.0001896405986772893,-0.00041759651399529257,0.0025037005527091703,0.00011766521444485682,0.0014758634956368968,0.0034022403981480813
10,NaN,NaN,20.0,59.89,32.0,10.0,2.1002073635102647,0.19068640124899197,0.9081333926266791,0.0859443687659559,0.1761868409292211,0.3455005984336634,0.0015710811911099937,0.007680379900480999,0.01606099904204431,0.003746402137642233,0.033300794468356085,0.03843956997627148,9.004064837736589,13.055992510093398,9.426503149232595,20.0,59.89,0.0,0.25,0.098888694122314,-0.00018801704159659733,-0.014904863434554447,0.051507841071680986,0.04537460153352418,0.03905377128270157,0.002652725145150597,6.176235257712381e-05,-0.0008417798333525577,0.002058596397835204,0.00013506564545322187,0.0015250058760378905,0.003118163709511846
11,NaN,NaN,20.0,59.27,30.0,10.0,1.9998903753306179,0.19478255012444104,0.8866584307795707,0.0930546188448848,0.18248581244678,0.34215571752192536,0.0007361855972857995,0.00850333839364875,0.017740201791136664,0.0017557068223277668,0.032907832641031844,0.04242871326679775,9.017979372855244,14.380315841671376,9.349749070468865,20.0,59.27,0.0,0.25,0.09907537579967711,-0.0010886172715267146,-0.016380443128999438,0.04605457080523078,0.04018510337194037,0.0347150069125782,0.0021207534355869857,3.48691717147187e-05,-0.0003615095216504634,0.001614636925357178,0.0001992946545489868,0.0012049782631648315,0.0024701843120544975
12,0.40002953692115145,0.003372367402729778,20.0,59.95,29.0,9.0,1.8998238367063052,0.1971700802970102,0.8911960543753221,0.10172670864165997,0.19010590800357316,0.33941405474482705,0.0015403049817838785,0.006005683331620191,0.015392078991125342,0.0037674920960684808,0.029400753939286046,0.03775416675508747,8.003547767283846,11.842160184726113,8.413258728508772,20.0,59.95,0.0,0.25,0.09844956212941947,0.004391113880762972,-0.0077035043963979465,0.04614791049193872,0.0427299033439662,0.02999535708284101,0.002129363105895546,-0.0001906745800827969,-0.00013196270366828687,0.0018256161235594398,6.737965609702502e-05,0.0008996088405889016,0.0024272940350219437
13,0.40003170359052714,0.0034648652361325425,20.0,59.27,27.0,9.0,1.799701600777563,0.18709789100839816,0.8702688418459932,0.10747668989783336,0.19257965673319055,0.34021524350227095,0.0008729919956317343,0.0038056699145128615,0.01316493216399193,0.002135378130761026,0.02669487123347249,0.03233017999662115,8.010740344272246,9.808340726118828,8.56457001614803,20.0,59.27,0.0,0.25,0.09628253134528933,0.007329768276321487,-0.004232620320220385,0.04411761781596344,0.04419499405673095,0.02702985420134711,0.0019461163835479086,5.492007426112441e-05,-0.00024157891545921806,0.001952948811426499,0.00013154691738071254,0.0007305199938249533,0.0023147925943996805
14,0.40002598752598767,0.0034319089438400174,20.0,58.48,25.0,8.0,1.7003991044968971,0.16918482718144962,0.8458081598731457,0.11283039410777915,0.19325288381578282,0.33251558565813105,0.0010225963489692445,0.004287963298416178,0.013927550355777075,0.0025850505914046906,0.02562051487935194,0.035264608321857564,7.006667765836842,10.499312041324735,7.442442900054567,20.0,58.48,0.0,0.25,0.09461265612494543,0.0029039760608352643,0.00015800414590470943,0.05093204887443135,0.04459267987484308,0.03174978914238147,0.0025937365347716646,-0.0004881033319373699,-0.00029424337089614645,0.0019882487165207526,0.0002621265302159745,0.0010079181270733941,0.002794951689182906
15,0.40003038990825707,0.003444397576936666,20.0,59.24,24.0,8.0,1.599930753850989,0.1469883433746678,0.8079716676213351,0.11212455204352627,0.18189383372394596,0.31505628838565086,0.001030586990341535,0.005748097547483343,0.017213393338211095,0.0026052487039877874,0.025445295152988788,0.04355409949169594,7.006394976666793,12.587664347232229,7.289584111373537,20.0,59.24,0.0,0.25,0.09300726315514046,0.012969418985979317,0.008436799205146719,0.051898748854490806,0.048616415427928245,0.04300272013871349,0.002693136926732273,0.00015304380361237473,-0.00019061823094791247,0.0023632546824134655,2.854967276106825e-05,0.0018489983080926169,0.0034526949586191776
16,0.4000239895697525,0.003426719539227958,20.0,58.35,22.0,7.0,1.4997672241099869,0.13305961405930034,0.7704459600111236,0.11449152072958642,0.17826078196941655,0.30997416448539566,0.0011906283328011241,0.007021581180963143,0.01733012817727543,0.003146732453151437,0.02592715152657345,0.04576525909829571,6.004005594257906,13.727914094956166,6.24522021991799,20.0,58.35,0.0,0.25,0.12350651905867374,0.008122685787403371,-0.0023796610269183113,0.06695150865026538,0.06300112038330385,0.06009726814846825,0.004481920090141013,0.00016317488240508575,-4.33391140729162e-05,0.003968623680481198,0.00018326535680794682,0.0036112107547317243,0.0060308772626769674
17,0.4000283771705822,0.0034354686572735686,20.0,59.16,21.0,7.0,1.3998965159773669,0.1237629876435765,0.7248385034164686,0.11616840091472723,0.17394810666636,0.3162302594564882,0.0009162151239184387,0.0024565277100665056,0.010684399788905475,0.002421451856989177,0.020654759090734148,0.028212815317232263,6.006605541854884,9.228167838377871,6.646600046707904,20.0,59.16,0.0,0.25,0.1504633556658117,0.009681690502701925,-0.013680541401438128,0.06649541388190641,0.06980895310497776,0.06190100358725044,0.004421075506541134,0.00011440362294039658,-0.0003090062949757491,0.004872667705582644,0.0005014174461003,0.00383124500427055,0.006562494108197163
18,0.4000250625782228,0.0034317598195206037,20.0,59.95,20.0,6.0,1.3013779714571696,0.11349363066687244,0.7143133605701643,0.11430731531426636,0.1634842934461508,0.32994861900201755,0.0010391995486309531,0.005101075685416147,0.017000657639444562,0.002926088569697011,0.021517942238861578,0.04770684814213404,5.004187115468603,12.421199573666335,5.2126529924979,20.0,59.95,0.0,0.25,0.1688764706804902,0.006039173938715726,-0.00635043806078796,0.06521328993075388,0.06606635984928856,0.053344194267401474,0.004252240921617148,0.00011114538872465195,-0.0002807885981034501,0.0043642176253998015,0.0007612027158095631,0.0028452469164735573,0.005730852731745254
19,0.4000299509424219,0.0034744931773019834,20.0,58.73,18.0,6.0,1.1981754558131759,0.08142236103274397,0.6976474049242098,0.10713782599565749,0.1450079314512177,0.32845878030671005,0.0008386877373554148,0.002450082749107566,0.014860552878156756,0.002361413117962586,0.01807008846131572,0.04166384288180453,5.006297124849281,9.582766894071828,5.278583168595741,20.0,58.73,0.0,0.25,0.19672747238778063,0.013760779791006258,-0.015003356614359071,0.06616982051047138,0.059205732544174765,0.04822903981680745,0.00437787989398077,0.0004725711333988506,-0.00022306882715074033,0.003504866233331434,0.0004726983989691383,0.002325739992433324,0.005104243059872764
20,0.40002858873023966,0.0034895840439411784,20.0,59.22,17.0,5.0,1.101423029258631,0.05145181793279743,0.6729145632418992,0.09176999206001797,0.11438465930612723,0.3073965095671005,0.002516766100909091,0.004290987624110532,0.010496993215932768,0.007812235959508376,0.018689073264225992,0.0320136936312139,4.000549846863402,11.774970116180205,4.450058711684117,20.0,59.22,0.0,0.25,0.22848470176674956,0.029939954162519856,-0.028411652273173153,0.09341048903298013,0.08580546127824212,0.06362322947874612,0.008724407080011126,0.0008746693360880308,0.00037911767763536725,0.007361638559829587,0.000769513016258837,0.00404739927686647,0.010066722458353593
21,0.40002737642585545,0.0034296803932526466,20.0,59.45,16.0,5.0,1.000405097055446,0.021663166545989106,0.6260639795866286,0.059996974700561034,0.06801199191587973,0.25812380705269455,0.0034366123387989966,0.003969671180760481,0.016957944277335265,0.010667643894612392,0.0174278865693445,0.05223820906591762,4.00029064282119,11.744563341469481,4.171215256974108,20.0,59.45,0.0,0.25,0.27548948018044395,0.04056768060155173,-0.031363117945007506,0.08846220859593998,0.09427655188761293,0.07165594583810643,0.007824570516674173,0.0021536813049626864,0.0003269359098062268,0.008886941737942512,0.0006008153952368784,0.005133923804045663,0.010922718029331174
22,0.4000286232806929,0.0034233773848257386,20.0,59.26,15.0,5.0,0.9014305057894355,0.01787653997036069,0.592578634138144,0.047065688586761745,0.05031658383239747,0.24491777566731202,0.0038387041646686664,0.0040323066572123326,0.00941689228004722,0.011915818573019826,0.016804940961011792,0.028626896226981318,4.0002302801447,11.91643435733214,4.560608251709545,20.0,59.26,0.0,0.25,0.2595541263128313,0.014448802860566285,-0.028162633769086173,0.08778070860574355,0.10579481270249727,0.08021782172008858,0.007704471467004081,0.00027734720274215564,0.0007664300378542028,0.01119111695634655,0.0008834596421505352,0.006434079397965033,0.01266483391065783
